English,Shakespearean
"He was in a good mood , and then suddenly he started thinking of Rome .","He was disposed to mirth , but on the sudden A Roman thought hath struck him. , Enobarbus !"
Madam ?,Madam ?
"Here , at your service .",Here at your service .
Here comes my lord .,My lord approaches .
"Your wife , Fulvia , mustered her army first .",Fulvia thy wife first came into the field .
Against my brother Lucius ?,Against my brother Lucius ?
Yes .,Ay .
"Don't say that , my lord .","Do not say so , my lord ."
Where do you think he is now ?,Where is he now ?
"He's in Athens , my lord .","My lord , in Athens ."
"No , he's not .","No , my most wronged sister ."
Cleopatra summoned him .,Cleopatra Hath nodded him to her .
"He's given his empire to a whore , and now they're gathering kings to wage a war .",He hath given his empire Up to a whore ; who now are levying The kings o' th' earth for war .
"He's recruited Bocchus , the King of Libya ; Archelaus of Cappadocia ; Philadelphos , King of Paphlagonia ; the Thracian king , Adallas ; King Manchus of Arabia ; the King of Pont ; Herod , of Judea ; Mithridates , King of Comagen ; Polemon and Amyntas , the kings of Mede and Lycaonia , and many more .","He hath assembled Bocchus , the King of Libya ; Archelaus , Of Cappadocia ; Philadelphos , King Of Paphlagonia ; the Thracian king , Adallas ; King Manchus of Arabia ; King of Pont ; Herod of Jewry ; Mithridates , King Of Comagen ; Polemon and Amyntas , The Kings of Mede and Lycaonia , With a more larger list of scepters ."
I'm divided between two friends who are determined to kill each other .,"Ay me , most wretched , That have my heart parted betwixt two friends That does afflict each other !"
You're welcome here .,Welcome hither .
I didn't write about breaking the alliance with Antony until I saw you were being misled and realized how dangerous it would be to keep postponing preparations .,Your letters did withhold our breaking forth Till we perceived both how you were wrong led And we in negligent danger .
Cheer yourself .,Cheer your heart .
You will always be welcome to me .,"Best of comfort , And ever welcome to us ."
"Welcome , lady .","Welcome , lady ."
"Welcome , dear madam .","Welcome , dear madam ."
Every heart in Rome loves and pities you .,Each heart in Rome does love and pity you .
"Only the adulterous and abominable Antony abandons you , giving his power to a whore who turns that power against us .","Only th' adulterous Antony , most large In his abominations , turns you off And gives his potent regiment to a trull That noises it against us ."
It's undeniable .,Most certain .
"You are welcome here , sister .","Sister , welcome ."
I beg you to continue to be patient .,Pray you Be ever known to patience .
My dearest sister !,My dear'st sister !
"But why , why , why ?","But why , why , why ?"
You opposed my taking part in the war .,Thou hast forspoke my being in these wars And sayst it is not fit .
Isn't this war against me ?,Is 't not denounced against us ?
Why shouldn't I be there in person ?,Why should not we Be there in person ?
What do you mean ?,What is 't you say ?
Let Rome fall !,Sink Rome !
May the tongues of our critics rot !,And their tongues rot That speak against us !
"I have responsibilities in this war , and as the absolute ruler of my kingdom I will carry out my duties as if I were a man .","A charge we bear i' th' war , And as the president of my kingdom will Appear there for a man ."
Don't argue against it .,Speak not against it .
I won't stay behind .,I will not stay behind .
"No , I've had my say .","Nay , I have done ."
Here comes the Emperor .,Here comes the Emperor .
"Isn't it strange , Canidius , that he could cross the Ionian Sea so quickly from Tarentum and Brundusium and take Toryne ? , Have you heard about this , sweet ?","Is it not strange , Canidius , That from Tarentum and Brundusium He could so quickly cut the Ionian sea And take in Toryne ? , You have heard on 't , sweet ?"
No one admires speed more than the lazy .,Celerity is never more admired Than by the negligent .
What else ?,"By sea , what else ?"
"Why do you want to do that , my lord ?",Why will My lord do so ?
Because he's daring us to do it .,For that he dares us to 't .
So you've dared him to single combat .,So hath my lord dared him to single fight .
"Yes , and you dared Caesar to fight the battle at Pharsalia , where he fought against Pompey .","Ay , and to wage this battle at Pharsalia , Where Caesar fought with Pompey ."
"But Caesar ignores offers that don't give him an advantage , and so should you .","But these offers , Which serve not for his vantage , he shakes off , And so should you ."
His ships are maneuverable .,In Caesar's fleet Are those that often have 'gainst Pompey fought .
Yours are slow and awkward .,"Their ships are yare , yours , heavy ."
Refusing to fight him at sea won't disgrace you .,"No disgrace Shall fall you for refusing him at sea , Being prepared for land ."
I'll fight at sea .,I'll fight at sea .
"Even if we fail at that , we can still fight him on land .","But if we fail , We then can do 't at land ."
What's your business ?,Thy business ?
"The news is true , my lord .","The news is true , my lord ."
He has captured Toryne .,He is descried .
"Canidius , take our nineteen","Canidius , Our nineteen legions thou shalt hold by land , And our twelve thousand horse ."
"What's the news , brave soldier ?","How now , worthy soldier ?"
"Oh , don't fight by sea , noble Emperor !","O noble Emperor , do not fight by sea !"
Don't trust rotten planks .,Trust not to rotten planks .
Don't you trust my sword and these wounds ?,Do you misdoubt This sword and these my wounds ?
Let the Egyptians and Phoenicians go swimming .,Let th' Egyptians And the Phoenicians go a-ducking .
We are used to winning by standing on the earth and fighting toe to toe .,We Have used to conquer standing on the earth And fighting foot to foot .
"Well , well , let's go .","Well , well , away ."
"By Hercules , I think I'm right .","By Hercules , I think I am i' th' right ."
"Soldier , you are .","Soldier , thou art ; but his whole action grows Not in the power on 't ."
Our leader is being led .,"So our leader's led , And we are women's men ."
"On land you keep the legions and cavalry together , don't you ?","You keep by land The legions and the horse whole , do you not ?"
"Marcus Octavius , Marcus Justeius , Publicola , and Caelius will go by sea , but we'll keep the bulk on land .","Marcus Octavius , Marcus Justeius , Publicola , and Caelius , are for sea ; But we keep whole by land ."
Caesar's speed defies belief .,This speed of Caesar's Carries beyond belief .
"While he was still in Rome , he deployed his forces in so many different disguises that all our spies were fooled .",While he was yet in Rome His power went out in such distractions as Beguiled all spies .
