,input,target
403,I told him that Lepidus was grown too cruel and that his high authority abused him.,"I have told him , Lepidus was grown too cruel , That he his high authority abused And did deserve his change ."
404,He will never give in to that.,He'll never yield to that .
405,It must not be surrendered to in this.,Nor must not then be yielded to in this .
406,"Thank you, Caesar, and my lord!","Hail , Caesar , and my lord !"
407,"Caesar, hail, most dear Caesar.","Hail , most dear Caesar !"
408,I should call thee a person of interest.,That ever I should call thee castaway !
409,You have not called me and you have not caused me to do that.,"You have not called me so , nor have you cause ."
410,Why have you come to us so far?,Why have you stol'n upon us thus ?
411,You don't come like Caesar's sister.,You come not Like Caesar's sister .
412,The wife of Antony should have an army for her and the neighs of the horse.,The wife of Antony Should have an army for an usher and The neighs of horse to tell of her approach Long ere she did appear .
413,"The dust should have ascended to the roof of heaven, raised by your troops.","Nay , the dust Should have ascended to the roof of heaven , Raised by your populous troops ."
414,"We should have met you by land and sea, with an augmented greeting.","We should have met you By sea and land , supplying every stage With an augmented greeting ."
415,"My lord, Mark Antony, Hearing that you prepared for war, I begged His pardon for return.","My lord , Mark Antony , Hearing that you prepared for war , acquainted My grieved ear withal , whereon I begged His pardon for return ."
416,He granted it because he wanted to obstruct his lust with him.,"Which soon he granted , Being an obstruct 'tween his lust and him ."
417,"Thank you, Amen.",Amen .
418,It's Hush!,Hush !
419,Here comes Antony.,Here comes Antony .
420,Is it possible that you saw your lord?,Saw you my lord ?
421,"No, woman.","No , lady ."
422,Was he not in the area?,Was he not here ?
423,"No, Madame.","No , madam ."
424,The Roman thought that he had struck him.,"He was disposed to mirth , but on the sudden A Roman thought hath struck him. , Enobarbus !"
425,What is the name of the person?,Madam ?
426,You are here at your service.,Here at your service .
427,My lord is going somewhere.,My lord approaches .
428,The first person to enter the field was Fulvia.,Fulvia thy wife first came into the field .
429,It was against my brother.,Against my brother Lucius ?
430,Ay is a word.,Ay .
431,"My lord, do not say that.","Do not say so , my lord ."
432,Where is he right now?,Where is he now ?
433,"My lord, I'm in Athens.","My lord , in Athens ."
434,"No, my sister, I'm the one who's been messed with.","No , my most wronged sister ."
435,Cleopatra Hath nodded her head.,Cleopatra Hath nodded him to her .
436,He gave his empire to a whore and now the kings are in the middle of a war.,He hath given his empire Up to a whore ; who now are levying The kings o' th' earth for war .
437,"The King of Libya, Archelaus, of Cappadocia, Philadelphos, King of Paphlagonia, and the King of Adallas were all assembled by him.","He hath assembled Bocchus , the King of Libya ; Archelaus , Of Cappadocia ; Philadelphos , King Of Paphlagonia ; the Thracian king , Adallas ; King Manchus of Arabia ; King of Pont ; Herod of Jewry ; Mithridates , King Of Comagen ; Polemon and Amyntas , The Kings of Mede and Lycaonia , With a more larger list of scepters ."
438,"I am the most wretched, that my heart parted with two of my dearest friends.","Ay me , most wretched , That have my heart parted betwixt two friends That does afflict each other !"
439,"Hither, welcome to the family.",Welcome hither .
440,"We were in danger because of how you were wrong, and because of your letters.",Your letters did withhold our breaking forth Till we perceived both how you were wrong led And we in negligent danger .
441,You should cheer your heart up.,Cheer your heart .
442,It is the best of comfort and welcome to us.,"Best of comfort , And ever welcome to us ."
443,"Lady, welcome to the world.","Welcome , lady ."
444,"Thank you, dear madam.","Welcome , dear madam ."
445,The hearts in Rome are very sad and love you.,Each heart in Rome does love and pity you .
446,"Antony is the adulterous one, he turns you off, and gives his potent regiment to a loud noise.","Only th' adulterous Antony , most large In his abominations , turns you off And gives his potent regiment to a trull That noises it against us ."
447,It is most certain.,Most certain .
448,"Sister, welcome to the family.","Sister , welcome ."
449,You should be known to be patient.,Pray you Be ever known to patience .
450,My dearest sister.,My dear'st sister !
451,"But why, why, why.","But why , why , why ?"
452,My being in these wars is not fit for purpose.,Thou hast forspoke my being in these wars And sayst it is not fit .
453,Is it not denounced against us?,Is 't not denounced against us ?
454,Why shouldn't we be there in person?,Why should not we Be there in person ?
455,What is it you are talking about?,What is 't you say ?
456,Rome should be Sink Rome!,Sink Rome !
457,"Their tongues speak against us, and they rot.",And their tongues rot That speak against us !
458,"The president of my kingdom will appear there for a man, because of a charge we bear.","A charge we bear i' th' war , And as the president of my kingdom will Appear there for a man ."
459,Don't Speak against it.,Speak not against it .
460,I will not be following behind.,I will not stay behind .
461,I have done that.,"Nay , I have done ."
462,The Emperor comes here.,Here comes the Emperor .
463,"Canidius, That from Tarentum and Brundusium, he could cut the Ionian sea and take in Toryne, is it not strange?","Is it not strange , Canidius , That from Tarentum and Brundusium He could so quickly cut the Ionian sea And take in Toryne ? , You have heard on 't , sweet ?"
464,It is more admired by the negligent than it is by the ciendric.,Celerity is never more admired Than by the negligent .
465,What else can be done by the sea?,"By sea , what else ?"
466,Why would my lord do that?,Why will My lord do so ?
467,He dares us to do that.,For that he dares us to 't .
468,He was dared by my lord to fight alone.,So hath my lord dared him to single fight .
469,"To wage this battle at Pharsalia, where Caesar fought with Pompey.","Ay , and to wage this battle at Pharsalia , Where Caesar fought with Pompey ."
470,"These offers don't serve for his view, he shakes off, and so should you.","But these offers , Which serve not for his vantage , he shakes off , And so should you ."
471,"In Caesar's fleet, are those that have fought Pompey the most?",In Caesar's fleet Are those that often have 'gainst Pompey fought .
472,"Their ships are heavy, yare, yours.","Their ships are yare , yours , heavy ."
473,You will not be disgraced for refusing him at sea and being prepared for land.,"No disgrace Shall fall you for refusing him at sea , Being prepared for land ."
474,I'll fight in the ocean.,I'll fight at sea .
475,"If we fail, then we can't do at land.","But if we fail , We then can do 't at land ."
476,Is this business yours?,Thy business ?
477,"The news is true, my friend.","The news is true , my lord ."
478,He is described as being descried.,He is descried .
479,"Canidius, Our nineteen legions shalt hold by land and our twelve thousand horse.","Canidius , Our nineteen legions thou shalt hold by land , And our twelve thousand horse ."
480,"How are you now, a worthy soldier?","How now , worthy soldier ?"
481,"O noble Emperor, do not fight in the sea.","O noble Emperor , do not fight by sea !"
482,Trust that they are not rotten.,Trust not to rotten planks .
483,Do you not think this sword and my wounds are true?,Do you misdoubt This sword and these my wounds ?
